YEAR	MONTH	DAY	SAMPLE_ID	SAMPLE_DATE	JULIAN_DAY	Race	FL	AdClip	RUN_TYPE
2001	MAY	1	U010598DLC	2001-05-01	121	UNKNOWN	80	N	FALL
2001	MAY	1	U010614DLC	2001-05-01	121	UNKNOWN	80	N	FALL
2001	MAY	1	U010569DLC	2001-05-01	121	UNKNOWN	76	N	FALL
2001	MAY	1	U010577DLC	2001-05-01	121	UNKNOWN	81	N	FALL
2001	MAY	1	U010571DLC	2001-05-01	121	UNKNOWN	78	N	FALL
2001	JUNE	1	U011065DLC	2001-06-01	152	UNKNOWN	85	N	FALL
2001	MAY	1	U010605DLC	2001-05-01	121	UNKNOWN	81	N	FALL
2001	MAY	1	U010612DLC	2001-05-01	121	UNKNOWN	76	N	FALL
2001	JUNE	1	U011066DLC	2001-06-01	152	UNKNOWN	81	N	FALL
2001	MAY	1	U010591DLC	2001-05-01	121	UNKNOWN	80	N	FALL
2001	JUNE	1	U011061DLC	2001-06-01	152	UNKNOWN	90	N	FALL
2001	MAY	1	U010579DLC	2001-05-01	121	UNKNOWN	78	N	FALL
2001	JUNE	1	U011059DLC	2001-06-01	152	UNKNOWN	87	N	FALL
2001	MAY	1	U010610DLC	2001-05-01	121	UNKNOWN	76	N	FALL
2001	MAY	1	U010570DLC	2001-05-01	121	UNKNOWN	77	N	FALL
2001	MAY	1	U010582DLC	2001-05-01	121	UNKNOWN	74	N	FALL
2001	MAY	1	U010589DLC	2001-05-01	121	UNKNOWN	77	N	FALL
2001	JUNE	1	U011068DLC	2001-06-01	152	UNKNOWN	69	N	FALL
2001	JUNE	2	U011075DLC	2001-06-02	153	UNKNOWN	85	N	FALL
2001	JUNE	2	U011074DLC	2001-06-02	153	UNKNOWN	87	N	FALL
2001	APRIL	2	U010114DLC	2001-04-02	92	UNKNOWN	68	N	FALL
2001	JUNE	2	U011073DLC	2001-06-02	153	UNKNOWN	63	N	FALL
2001	JUNE	2	U011076DLC	2001-06-02	153	UNKNOWN	68	N	FALL
2001	JUNE	2	U011070DLC	2001-06-02	153	UNKNOWN	68	N	FALL
2001	JUNE	2	U011071DLC	2001-06-02	153	UNKNOWN	83	N	FALL
2001	JUNE	2	U011078DLC	2001-06-02	153	UNKNOWN	81	N	FALL
2001	JUNE	2	U011077DLC	2001-06-02	153	UNKNOWN	64	N	FALL
